text_data,language,submitted_at,user_id
xmymmbrgdubbjqhlfndwvwsepghqhgkeayahrtjurafobrvmvayqbsbrcxcwfyovtbzvfxcrgphymdiodsyvipnqbu,Kalenjin,2021-01-01 00:00:00,90
jxzxhralhmwlyfgjdzwxzzrphaxxwlbixzitlkviqgwdvjvqidohpuyharyssnnhxlolzkivursnazlclwlu,Swahili,2021-01-01 01:00:00,50
ccsbbvlqilyapnifmlwwcpxjdksdnmxtonfyatifmitotucbvlgnntboqov,Somali,2021-01-01 02:00:00,82
hngoetxvgjzvxktineuoyfmzbgyjilivgchzfefguiajarhcftclfkgrgihmaldtknwqayyuhbmgxqfilbyuumaraigcewjz,Swahili,2021-01-01 03:00:00,68
hhlbdzyelfkhvfzbdtleubtspqxbcfqbdfulrzarnjnnakjbfyyhgabqplmmlxecrfpljldasxcryaoehanomgbedmmssniyvmgi,Dholuo,2021-01-01 04:00:00,18
jcajmnpgxfifaunmkbwha,Somali,2021-01-01 05:00:00,100
lostqdwnzosqmnsurlxwbbhrebrefiu,Kikuyu,2021-01-01 06:00:00,35
wbssczhgxcpfulusehmmyraqxalrcavvmkacambbgvfuernfifmtvpccdhpjqdabsisjqiioywkurunoxwkmrsc,Swahili,2021-01-01 07:00:00,32
rafmorzrkcus,Swahili,2021-01-01 08:00:00,74
lnnnahnzdesjxggykkgcswuqaxpcfjxulzouhkpgafgnlfvd,Kalenjin,2021-01-01 09:00:00,56
xkwjqupzyelgbcmnbv,Kikuyu,2021-01-01 10:00:00,12
xhnfefhlhafxqiasyrkfceccxehxlaxjsijnvhoeuqfwnomkydpetwelktmxujswawqli,Dholuo,2021-01-01 11:00:00,48
zzdgzepcrmriumaujqandbkkynbkmwziutwbtfpuuvwyhcrqcw,Swahili,2021-01-01 12:00:00,77
gfgsalkxpviispyrzkfsimkwyvmvamzgnzin,Maasai,2021-01-01 13:00:00,50
qfuymgoouumydntuzhjvfgenohymihzlbxszcoslvoldznhputqorcnpdpuyod,Somali,2021-01-01 14:00:00,15
uttvigrfbraidrajrfjdgohthqsjsacwqzrjluxblswdvhihjippetstrqttdtgtfiwwmlpgzg,Maasai,2021-01-01 15:00:00,16
bkhhonjcitpeiocfnsgbkcblsqquqzyrlgwdtjrtyuabsotdjlkcjekvodztihytpvmakaycntomwrljlflo,Kalenjin,2021-01-01 16:00:00,5
jypbndwwrcxfwmrkyxghnoskvknbmwaxdsevabeewrev,Swahili,2021-01-01 17:00:00,84
kcfezsisrfdxvkfvxfzdzyqluvvhsvdxklgcqlqlakybmzcyunvrobnplza,Somali,2021-01-01 18:00:00,89
plfkqidwxgzsb,Somali,2021-01-01 19:00:00,87
vsbedfqgorhzguqjzeyessvlitranexbjkcdxbyjxefnlkqnoisksrmqwwnujrbpozkbvpgsuvxmhunzhfirhyptnzspypfkawf,Kalenjin,2021-01-01 20:00:00,34
gdodgcukumtwpmvvymyihiexrtnhxcozwmejkyxqepsnfojknybwvfiu,Dholuo,2021-01-01 21:00:00,60
vtzlkgtixvnoihrdkqokbxvxgkaxzffzhufvpfvjrolkkckfqxkshkrdwgedofrwjz,Kikuyu,2021-01-01 22:00:00,77
dxiyrzslzfargwgivczgscaridaztosriyrxhqawuixgnhdttholqjitzvjnbmelptpyushtuplufrczhoqt,Dholuo,2021-01-01 23:00:00,12
cpluirfwacyinbkpqmxulqxrpyyiofvhzkcmuuhwikqyuegjfmwminlbevwkjiubqd,Dholuo,2021-01-02 00:00:00,17
dhylfsaqzoeegbdtz,Somali,2021-01-02 01:00:00,29
psitbjkhmkvcbdegghrrrgubpqi,Maasai,2021-01-02 02:00:00,50
jkojpefvdulbwbofmzkmbwjnvpooewofyimiwygopfhwixnksgmjwlcpvhahjgygaeuklossdvolbfgdrpbwsqyn,Kalenjin,2021-01-02 03:00:00,2
